"_id","CODI_ENS","NOM_ENS","ANY","MES","COMARCA","PROVINCIA","CENS","PAGINA","NOMBRE_DE_PAGINES_VISUALITZADES","NOMBRE_DE_PAGINES_VISUALITZADES_UNIQUES","TEMPS_MITJA_A_LA_PAGINA","ENTRADES","PERCENTATGE_DE_REBOTS","PERCENTATGE_DE_SORTIDES"
"103131","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/accio-de-govern-i-normativa/normativa-plans-i-programes/estatuts","2","1","0","0","0","0"
"103132","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/accio-de-govern-i-normativa/normativa-plans-i-programes/ordenances-fiscals","43","1","0","0","0","0"
"103133","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/accio-de-govern-i-normativa/normativa-plans-i-programes/ordenances-reguladores-i-reglaments","1","1","0","0","0","0"
"103134","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/accio-de-govern-i-normativa/normativa-plans-i-programes/pla-anual-normatiu","5","1","0","0","0","0"
"103135","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/accio-de-govern-i-normativa/normativa-plans-i-programes/plans-i-programes-sobre-les-politiques-publiques","47","1","0","0","0","0"
"103136","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/accio-de-govern-i-normativa/urbanisme","11","1","0","0","0","0"
"103137","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/accio-de-govern-i-normativa/urbanisme/informacio-geografica-d-urbanisme","7","1","0","0","0","0"
"103138","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/accio-de-govern-i-normativa/urbanisme/normativa-d-urbanisme","100","1","0","0","0","0"
"103139","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/accio-de-govern-i-normativa/urbanisme/planejament-urbanistic","8","1","0","0","0","0"
"103140","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/accio-de-govern-i-normativa/urbanisme/planejament-urbanistic","1","1","0","0","0","0"
"103141","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/accio-de-govern-i-normativa/urbanisme/plans-territorials-d-urbanisme","3","1","0","0","0","0"
"103142","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/contractes-convenis-i-subvencions","5","1","0","0","0","0"
"103143","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/contractes-convenis-i-subvencions/convenis-i-subvencions","32","1","0","0","0","0"
"103144","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/contractes-convenis-i-subvencions/convenis-i-subvencions/ajuts-atorgats","1","1","0","0","0","0"
"103145","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/contractes-convenis-i-subvencions/convenis-i-subvencions/convenis-de-col-laboracio","12","1","0","0","0","0"
"103146","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/contractes-convenis-i-subvencions/convenis-i-subvencions/convocatories-de-subvencions-i-ajuts","14","1","0","0","0","0"
"103147","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/contractes-convenis-i-subvencions/convenis-i-subvencions/subvencions-atorgades","2","1","0","0","0","0"
"103148","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/contractes-convenis-i-subvencions/informacio-de-la-contractacio-publica/organs-de-contractacio","2","1","0","0","0","0"
"103149","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/contractes-convenis-i-subvencions/relacio-de-contractes/licitacions-en-tramit-perfil-de-contractant","2","1","0","0","0","0"
"103150","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/contractes-convenis-i-subvencions/relacio-de-contractes/registre-de-factures","1","1","0","0","0","0"
"103151","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica","17","1","0","0","0","0"
"103152","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/gestio-economica/cost-efectiu-dels-serveis","1","1","0","0","0","0"
"103153","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/gestio-economica/endeutament","1","1","0","0","0","0"
"103154","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/gestio-economica/indicadors-de-gestio-economica","1","1","0","0","0","0"
"103155","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/gestio-economica/periode-mitja-de-pagament-a-proveidors","4","1","0","0","0","0"
"103156","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/patrimoni/inventari-de-vehicles-oficials","1","1","0","0","0","0"
"103157","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/pressupost","8","1","0","0","0","0"
"103158","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/pressupost/compliment-dels-objectius-d-estabilitat-pressupostaria","1","1","0","0","0","0"
"103159","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/pressupost/execucio-pressupostaria-trimestral","9","1","0","0","0","0"
